,1101 猟,1102 ㄈ猟,1216 参,1301 鹅,1303 玭ㄈ,1326 て,1402 环狥穝,2002 い葵,2105 タ穝,2633 芖蔼臟,2801 裹蝗,2823 い关,2880 地玭,2881 碔ü,2882 瓣,2883 秨祇,2884 ド,2885 じ,2886 伦,2887 穝,2890 ッ伦,2891 い獺,2892 材,5876 坝蝗,5880 畐,2912 参禬,5871 い-KY,9904 腳Θ,6505 鹅て,2303 羛筿,2330 縩筿,2408 玭ㄈ,2454 羛祇,3711 らるщ北,2301 腳,2357 地河,2382 約笷,2395 地,4938 ㎝河,2409 ね笷,3008 ミ,3481 竤承,2412 い地筿,3045 芖,4904 环肚,2308 笷筿,2327 瓣エ,2317 翬,2354 翬非,2474 Θ
2016/10/21,30.95,25.28,54.9,76.41,57.32,82.31,22.87,20.7,60.39,,14.19,23.68,13.71,41.19,36.95,7.1,14.74,10.85,19.64,9.75,8.03,15.68,14.44,,12.01,219.36,49.58,39.66,94.98,10.84,176,37.64,219.09,,39.44,248.13,59.07,218.53,74.74,10.61,"3,607.98",10.09,102.35,100.65,67.91,153.66,73.73,96.08,88.4,234.46
2016/10/24,31.2,25.47,54.72,75.87,57.23,82.31,22.69,20.79,60.39,,14.1,23.89,13.71,41.14,36.91,7.14,14.7,10.85,19.47,9.71,8.01,15.5,14.44,,12.01,217.56,49.85,39.75,92.73,10.79,178.34,38.2,221.42,,39.92,249.02,58.53,217.24,74.56,10.91,"3,666.33",10.18,102.8,100.65,67.64,153.66,71.72,95.97,87.02,230.71
2016/10/25,31.58,26.36,54.45,76.68,57.58,83.2,22.64,20.93,59.75,,14.23,24.1,13.75,41.55,37.04,7.18,14.7,10.9,19.64,9.75,8.02,15.5,14.57,,11.96,219.81,49.85,39.25,95.89,10.84,180.21,37.83,226.07,,40.57,248.58,59.34,221.95,75.99,11.08,"3,612.84",10.37,101.89,101.1,67.91,155.51,71.38,97.68,86.93,235.4
2016/10/26,31.67,26.08,54.63,76.68,57.94,84.09,22.59,21.21,59.29,,14.14,24.1,13.67,41.6,37.13,7.13,14.62,10.81,19.51,9.75,7.97,15.46,14.4,,12.01,217.56,50.49,39.34,94.53,10.7,178.81,38.48,223.74,,40.01,249.91,59.61,219.81,76.71,11.16,"3,676.05",10.42,101.89,100.65,68.09,153.66,71.38,97.56,85.37,232.12
2016/10/27,31.67,26.22,53.19,76.59,57.94,82.93,22.64,21.16,58.65,22.79,14.1,23.81,13.63,41.69,37.27,7.1,14.53,10.81,19.38,9.71,7.97,15.41,14.36,,11.96,214.42,50.4,38.66,94.08,10.65,176,38.16,222.35,,39.66,249.47,57.81,217.67,76.62,10.95,"3,612.84",10.23,101.43,99.75,67.82,152.27,71.05,97.33,84.46,230.71
2016/10/28,31.88,26.32,53.82,77.23,58.11,84,22.69,21.07,59.38,20.99,14.19,24.05,13.71,41.19,37.41,7.16,14.62,10.9,19.33,9.71,7.97,15.5,14.49,,12.05,215.32,50.22,39.11,94.53,10.84,176.94,37.88,220.95,,39.92,246.8,58.17,218.53,75.54,10.53,"3,632.29",10.05,100.97,99.75,68.09,155.98,69.71,96.65,83.91,230.71
2016/10/31,31.92,25.94,54.81,77.04,58.29,83.55,22.83,21.26,58.92,19.76,14.1,24.01,13.67,41.09,37.55,7.07,14.7,10.95,19.29,9.83,7.95,15.37,14.49,,11.96,211.73,49.67,38.89,94.98,10.88,176,38.2,223.28,,39.44,245.47,57.37,219.81,76.08,10.23,"3,632.29",9.86,98.69,99.75,67.64,154.13,71.16,97.22,84,232.12
2016/11/1,31.5,25.89,54.54,76.68,57.58,83.64,22.64,21.21,59.75,19.33,14.14,23.64,13.71,41.05,37.41,7.07,14.66,10.9,19.24,9.79,7.97,15.46,14.36,,11.96,211.73,49.76,38.7,93.63,10.88,176.94,37.97,220.95,,39.23,244.14,58.08,219.81,75.28,10.44,"3,549.63",10.23,99.6,98.4,67.82,153.2,69.93,96.42,83.45,228.37
2016/11/2,30.57,25.61,54.45,76.32,57.23,83.29,22.5,20.88,59.11,18.06,14.1,23.56,13.63,40.82,36.91,7,14.57,10.81,19.2,9.75,7.92,15.41,14.36,,11.96,212.18,49.22,38.2,91.83,10.84,173.67,37.13,220.02,,38.83,242.81,57.19,218.53,73.66,10.31,"3,471.83",10.28,98.69,98.4,67.46,152.27,69.26,94.14,81.15,214.77
2016/11/3,30.28,25.42,53.64,76.59,56.78,83.2,22.13,20.93,59.11,18.58,14.06,23.35,13.54,39.9,36.49,6.96,14.53,10.53,19.64,9.66,7.86,15.28,14.31,,11.92,212.63,49.22,37.16,91.38,10.74,172.27,37.32,220.02,,38.35,241.92,56.38,212.54,72.5,10.18,"3,418.34",10.14,99.15,98.4,67.27,151.35,68.92,93.12,81.34,211.02
2016/11/4,30.4,25.42,53.82,76.86,57.23,83.64,22.22,21.07,59.11,18.34,14.1,23.31,13.5,40.27,37.04,6.93,14.45,10.76,19.56,9.66,7.85,15.28,14.4,,11.83,212.18,49.12,37.16,90.48,10.74,172.27,37.27,210.25,,38.31,240.59,55.75,214.68,73.13,10.23,"3,398.89",10.32,98.69,97.49,67.55,151.35,69.48,93.46,82.71,208.67
2016/11/7,31.29,25.52,53.46,77.13,57.49,84.36,22.13,21.39,59.47,18.2,14.19,23.52,13.54,40.64,37.32,6.94,14.53,10.85,19.6,9.71,7.87,15.28,14.4,,11.88,211.28,49.03,37.16,96.34,10.79,176.47,37.32,214.9,,38.31,243.25,57.28,216.39,74.47,10.23,"3,466.97",10.37,99.15,98.85,68.18,152.74,69.71,95.17,83.26,215.24
2016/11/8,31.62,25.75,53.46,77.86,58.11,85.51,22.59,22.09,60.11,18.1,14.23,23.73,13.67,40.82,37.36,6.96,14.66,10.85,20.14,9.79,7.93,15.46,14.53,,12.01,213.97,49.12,37.75,97.24,10.84,176,37.46,212.11,,39.49,245.03,57.37,210.83,75.01,10.44,"3,437.79",10.42,100.52,99.3,68,153.66,69.37,94.6,84.27,218.52
2016/11/9,30.61,25.19,50.68,75.96,57.14,83.11,22.08,21.81,59.02,17.49,14.1,23.07,13.41,39.26,35.85,6.78,14.37,10.48,19.64,9.58,7.77,15.09,14.31,,11.79,216.22,48.67,36.88,94.08,10.65,169.94,35.83,205.14,,37.79,238.37,55.21,212.11,73.13,9.8,"3,248.15",9.91,99.6,97.94,68,147.65,66.91,91.64,81.06,207.74
2016/11/10,32.17,25.71,50.95,77.95,58.56,85.6,22.36,22.93,60.3,17.63,14.19,24.01,13.5,41.55,38.01,6.9,14.53,10.85,20.45,9.75,7.84,15.41,14.49,,11.88,220.7,49.12,37.16,94.98,10.74,173.2,37.5,206.53,,39.23,242.81,56.2,217.67,74.29,10.06,"3,447.52",10.23,99.6,97.94,67,152.27,68.25,92.89,83.45,212.89
2016/11/11,31.62,25.14,49.24,76.68,57.4,84.62,21.85,22.84,55.53,17.25,14.06,23.97,13.28,41.97,40.11,6.77,14.45,10.67,20.45,9.62,7.71,15.19,14.31,,11.79,215.32,48.21,35.83,91.38,10.51,169.47,36.62,200.02,,36.66,233.04,51.99,210.83,66.86,9.76,"3,301.64",10.14,97.78,95.24,65.1,145.33,66.46,90.04,76.75,203.05
2016/11/14,31.25,25.09,48.89,76.77,56.78,84.53,21.43,22.75,54.62,17.53,14.06,25,13.28,44.49,42.13,6.77,14.57,10.76,20.76,9.75,7.71,15.28,14.36,,11.75,210.83,48.49,35.97,89.4,10.47,168.53,36.57,203.28,,40.27,233.04,51.72,210.4,64.27,9.67,"3,189.80",9.95,95.95,95.24,65.82,145.33,66.8,90.04,74.55,200.23
2016/11/15,30.95,25.05,49.33,76.68,57.23,84,21.43,22.75,53.7,17.53,14.1,25.41,13.28,43.57,41.17,6.79,14.78,10.67,20.76,9.75,7.73,15.46,14.31,,11.79,214.87,48.21,36.38,89.58,10.47,168.07,36.15,200.95,,40.71,231.71,51.99,210.4,62.66,9.72,"3,233.57",10,95.03,93.88,64.92,145.33,66.68,90.04,74.55,200.7
2016/11/16,30.82,25,50.41,77.13,57.85,85.42,21.47,22.42,54.98,17.96,14.14,25.45,13.33,43.66,41.67,6.82,14.94,10.67,20.58,9.71,7.7,15.41,14.36,,11.79,215.32,48.12,36.02,89.58,10.47,168.07,36.29,200.95,,40.53,231.71,52.26,212.11,64.36,9.72,"3,291.92",10,96.86,94.78,65.91,144.87,65.68,90.04,76.11,199.76
2016/11/17,30.53,24.53,49.51,77.77,58.47,85.51,21.15,22.65,53.61,17.77,14.19,25.83,13.33,43.66,41.12,6.8,14.94,10.71,20.54,9.75,7.68,15.64,14.49,,11.83,216.67,48.12,35.83,90.03,10.51,169.47,36.39,206.07,,40.97,231.71,51.99,212.97,64.71,9.93,"3,262.74",10.14,96.41,95.69,66.73,144.41,65.57,91.86,76.11,200.23
2016/11/18,30.23,24.53,48.98,77.32,58.03,84.18,21.33,22.42,53.98,17.82,14.06,25.87,13.33,43.2,41.26,6.76,14.9,10.57,20.27,9.71,7.63,15.46,14.4,,11.83,212.63,48.21,35.65,89.58,10.47,169,37.18,211.18,,42.62,233.49,52.62,213.82,66.06,9.93,"3,403.75",10.14,96.41,95.69,66.19,145.33,65.68,92.21,76.57,205.86
2016/11/21,31.03,24.81,48.98,77.95,57.76,84.62,21.47,22.84,53.61,17.77,14.14,25.99,13.37,44.12,41.86,6.9,14.94,10.71,20.63,9.71,7.7,15.5,14.44,,11.92,211.28,48.67,35.83,90.03,10.56,169,37.41,207.46,,41.71,235.26,51.99,213.82,65.7,10.01,"3,403.75",10.32,95.95,95.69,66.91,143.94,65.57,92.21,76.11,209.14
2016/11/22,31.29,25.14,48.98,79.39,58.65,86.22,21.71,22.84,54.07,17.77,14.23,26.32,13.37,44.07,41.67,6.95,14.98,10.81,20.76,9.79,7.81,15.55,14.57,,11.83,216.67,48.94,37.06,93.18,10.56,171.8,37.74,212.58,,43.23,238.37,52.7,215.53,66.5,10.01,"3,413.48",10.18,96.86,95.69,66.46,146.26,66.13,92.55,76.66,211.49
2016/11/23,31.33,25.23,48.89,79.93,59,87.2,21.94,22.93,54.07,17.68,14.36,26.28,13.5,43.8,42.22,7.05,14.98,10.81,20.4,9.79,7.87,15.59,14.62,,11.92,218.91,48.94,36.79,94.53,10.6,173.2,38.76,210.25,,42.88,238.37,53.15,218.53,68.47,9.93,"3,423.20",10.18,98.23,97.04,67,148.57,66.57,93.46,77.58,209.14
2016/11/24,30.99,25.33,49.24,79.84,59,86.49,21.85,23.03,54.25,18.01,14.36,26.94,13.54,44.44,42.68,7.2,14.94,10.95,20.72,9.96,7.97,15.68,14.66,,11.92,216.22,49.31,36.88,94.08,10.51,170.87,41.98,206.53,,43.53,236.15,52.44,217.67,66.5,9.84,"3,418.34",10.09,98.23,96.59,67.09,146.72,66.57,92.43,76.39,205.86
2016/11/25,30.99,24.81,49.33,79.39,58.82,86.85,21.8,23.4,54.43,17.82,14.4,27.72,13.63,45.27,44.42,7.15,14.94,10.81,20.58,9.92,7.95,15.68,14.66,,11.96,217.56,48.94,36.61,94.53,10.51,169.94,40.44,206.07,,42.75,236.59,52.53,215.96,67.04,9.93,"3,471.83",10,98.23,97.04,66.73,146.26,66.35,91.75,75.01,208.2
2016/11/28,31.2,25.56,49.6,80.11,59.45,87.2,22.08,23.82,55.53,17.77,14.62,28.38,13.71,45.27,44.42,7.15,15.15,10.9,20.72,9.96,7.97,15.82,14.71,,12.13,215.32,49.22,36.47,94.08,10.51,171.8,41.52,207.93,,42.93,236.15,52.97,219.38,67.94,9.8,"3,520.45",10,98.23,97.49,66.82,146.26,66.57,92.66,75.38,218.99
2016/11/29,30.87,25.42,49.33,81.1,59.18,87.65,21.94,23.73,54.43,18.01,14.54,28.26,13.63,45.36,43.37,7.11,14.98,10.81,20.54,9.96,7.91,15.59,14.62,,12.05,215.32,48.94,35.88,92.28,10.51,169.94,41.52,206.07,,42.93,233.04,52.62,219.38,68.2,9.84,"3,539.90",10.14,98.23,97.04,66.82,146.26,66.57,93.46,77.03,223.68
2016/11/30,31.08,26.41,48.89,81.92,59.53,88.89,21.94,23.31,54.98,18.06,14.89,28.01,13.8,45.36,43,7.1,15.15,10.71,20.31,9.96,7.94,15.82,14.71,,12.13,214.87,49.49,36.29,96.79,10.42,170.87,41.52,206.07,,43.8,234.37,53.24,219.38,67.94,9.76,"3,588.53",10.18,98.23,97.04,66.91,148.11,66.57,93.46,76.66,217.11
2016/12/1,31.29,26.32,48.89,82.19,60.78,88.54,22.27,23.21,54.8,18.06,14.75,29.16,13.75,46.14,44.29,7.16,15.07,10.76,20.45,10,7.97,15.86,14.71,,12.09,216.22,49.22,36.52,98.59,10.51,170.87,42.22,208.86,,43.53,233.49,52.88,218.96,68.47,9.76,"3,549.63",10.14,97.32,95.24,66.73,146.26,66.46,93.92,75.47,222.74
2016/12/2,31.29,26.22,48.53,82.46,61.04,87.83,22.36,23.31,55.72,17.91,14.67,29.24,13.75,46.6,44.01,7.14,14.98,10.71,20.58,10,7.97,15.91,14.79,,12.09,213.97,49.85,36.11,97.69,10.47,166.2,41.75,209.32,,42.93,231.71,52.88,216.82,67.31,9.67,"3,510.73",10,96.86,95.24,66.46,144.87,65.68,93.12,75.93,222.74
2016/12/5,30.95,25.75,48.44,81.47,60.42,87.02,22.03,23.26,55.44,18.01,14.54,29.04,13.63,46.78,44.29,7.08,14.82,10.62,20.36,9.92,7.91,15.86,14.79,,12.01,211.28,49.49,35.65,96.79,10.37,167.13,41.61,207.93,,42.93,232.15,52.7,215.11,66.68,9.84,"3,481.55",10.18,96.86,95.69,66.37,143.94,64.22,92.66,76.02,218.52
2016/12/6,31.16,26.03,48.44,81.47,61.31,88.09,22.41,23.54,55.62,17.91,14.67,28.05,13.71,46.78,44.93,7.16,14.86,10.71,20.76,9.96,7.97,15.91,14.88,,12.09,212.18,49.85,36.15,99.94,10.56,169.94,41.33,210.25,,43.71,233.49,52.62,216.82,68.03,9.8,"3,573.94",10.18,96.86,95.69,66.37,145.33,64.34,93.8,75.84,221.33
2016/12/7,31.25,26.03,48.44,82.01,61.31,87.74,22.59,23.54,55.35,17.87,14.67,27.18,13.8,46.78,44.84,7.15,14.9,10.67,20.76,9.96,7.95,15.95,14.97,,12.09,213.08,49.76,36.02,99.04,10.51,169.47,41.33,209.32,,43.53,235.71,53.06,214.68,67.58,10.06,"3,646.88",10.51,96.86,95.69,67,145.33,64.45,94.71,76.66,218.99
2016/12/8,32.05,26.41,49.6,82.55,62.64,88,23.15,23.96,55.9,17.91,14.93,27.31,14.01,46.96,44.97,7.22,15.23,10.95,20.98,10.13,8.04,16.18,15.19,,12.31,214.42,50.03,36.84,100.39,10.56,173.2,41.33,213.97,,43.97,237.04,53.06,218.96,68.38,10.23,"3,646.88",10.55,96.86,96.59,66.73,150.42,65.01,96.65,78.4,219.46
2016/12/9,32,26.41,49.96,82.91,63.62,88.09,23.15,23.82,55.62,17.96,14.84,26.24,14.05,47.24,45.3,7.28,15.31,11.13,21.21,10.13,8.06,16.27,15.19,,12.35,213.08,50.13,37.2,102.19,10.51,173.67,42.26,214.44,,43.53,235.26,53.33,221.52,68.74,10.14,"3,627.43",10.42,95.95,95.24,66.64,150.89,64.45,96.88,78.86,218.99
2016/12/12,31.96,26.46,49.69,82.91,64.33,87.91,23.25,23.91,55.9,17.77,14.8,26.69,14.05,47.15,45.3,7.24,15.23,11.04,21.21,10.17,8.06,16.18,15.14,,12.35,209.04,50.31,37.11,99.94,10.47,172.74,43.85,213.51,,43.53,236.59,54.5,219.38,67.58,10.01,"3,632.29",10.46,95.95,94.78,65.73,149.96,65.12,95.05,78.5,220.87
2016/12/13,31.92,26.18,49.24,82.01,64.24,87.91,23.25,23.96,55.72,17.72,14.93,26.69,14.09,47.97,45.52,7.3,15.31,11.18,21.16,10.22,8.11,16.27,15.32,,12.35,208.59,50.49,37.61,102.19,10.47,173.67,43.66,212.58,,43.53,237.04,54.23,215.53,67.67,10.01,"3,646.88",10.42,95.49,94.78,65.55,149.5,64.78,96.19,79.05,220.4
2016/12/14,31.79,26.32,49.24,81.19,63.7,87.74,23.01,23.91,55.44,17.72,14.8,25.78,13.97,47.24,44.61,7.26,15.11,11.13,20.89,10.17,8.01,16.13,15.19,,12.26,210.83,50.4,37.52,100.39,10.37,175.07,44.22,209.32,,43.53,236.15,54.68,215.53,68.38,9.97,"3,632.29",10.46,95.49,93.88,65.28,150.89,64,95.4,79.5,221.8
2016/12/15,31.25,26.41,47.81,80.11,62.02,86.85,22.83,23.82,55.44,17.68,14.8,27.02,14.01,48.62,45.66,7.29,15.19,11.08,20.89,10.22,8.06,16.27,15.1,,12.26,208.14,49.85,37.16,98.59,10.47,174.6,44.32,212.11,,43.97,236.59,54.68,214.68,67.49,10.14,"3,593.39",10.69,95.03,93.88,65.19,148.11,64.67,95.97,79.14,224.15
2016/12/16,30.91,25.94,47.81,80.65,63.79,86.58,22.73,23.54,54.34,17.53,14.84,27.18,13.92,48.52,45.85,7.23,15.11,11.13,21.21,10.13,7.98,16.27,15.06,,12.13,206.8,49.94,36.7,98.59,10.47,172.74,45.25,210.25,,42.84,235.26,53.33,213.82,68.29,10.14,"3,646.88",10.69,94.12,92.98,64.92,145.33,65.12,95.28,78.22,220.87
2016/12/19,30.36,25.47,47.81,79.75,64.33,85.42,22.45,23.26,55.53,17.3,14.75,26.28,13.88,48.52,44.93,7.21,14.94,11.04,20.89,10.05,7.89,16.13,14.97,,12.09,206.35,50.03,36.47,98.59,10.47,170.4,44.5,208.39,,42.4,233.93,53.51,212.11,67.22,10.01,"3,564.22",10.6,92.75,92.53,64.74,145.79,64.78,94.37,76.75,215.24
2016/12/20,30.57,25.56,47.54,80.02,64.33,86.13,22.73,23.82,54.62,17.3,14.84,26.4,13.84,48.52,44.93,7.19,14.98,11.04,20.81,10.05,7.89,16.09,14.92,,12.09,206.35,49.58,36.24,96.79,10.47,170.4,44.5,204.21,,42.84,233.93,53.24,215.11,68.47,10.1,"3,520.45",10.74,92.75,93.43,64.46,146.72,64.89,95.4,76.66,212.89
2016/12/21,30.28,25.23,47.54,80.29,64.5,86.4,22.78,23.49,54.52,17.49,14.84,26.36,13.8,48.16,44.52,7.18,14.94,10.95,20.67,10.05,7.88,16,14.88,,12.05,206.35,49.49,36.15,95.89,10.47,168.07,44.27,201.41,,42.19,233.93,52.88,212.97,68.92,10.31,"3,539.90",10.92,92.29,92.08,64.55,147.65,64.45,94.94,76.75,211.02
2016/12/22,29.52,24.86,47.18,78.58,63.17,84.09,22.55,23.21,54.25,17.25,14.67,26.24,13.67,46.05,42.91,7.12,14.86,10.85,20.54,9.92,7.85,15.86,14.75,,12.01,206.35,49.49,35.93,94.98,10.47,167.13,45.2,201.88,,42.14,233.49,52.79,212.97,68.29,10.27,"3,501",10.88,92.29,92.53,64.55,144.41,64.67,94.37,76.11,206.33
2016/12/23,28.97,24.67,46.82,77.68,62.46,82.93,22.41,22.93,54.07,17.3,14.58,25.95,13.63,45.68,43.09,7.11,14.78,10.85,20.45,9.96,7.81,15.77,14.71,,11.96,205,49.49,35.65,94.53,10.47,166.67,46.23,201.41,,41.36,234.37,52.35,211.69,68.12,10.23,"3,452.38",10.79,92.29,92.08,63.92,143.48,63.1,94.26,75.84,207.74
2016/12/26,28.88,24.72,47.27,77.95,62.64,83.82,22.22,22.75,54.43,17.39,14.75,26.11,13.71,46.6,44.06,7.11,14.9,10.9,20.54,10,7.87,15.86,14.84,,12.05,205.45,49.58,36.06,94.53,10.47,167.6,45.48,200.95,,41.53,234.37,52.88,211.69,68.03,10.14,"3,471.83",10.74,92.29,92.08,64.19,143.94,64.78,94.94,76.11,207.74
2016/12/27,28.76,24.76,47.54,77.95,62.2,83.2,22.17,22.61,54.62,17.39,14.75,26.11,13.71,45.96,43.64,7.11,14.82,10.85,20.4,9.96,7.84,15.82,14.84,,12.01,204.55,49.58,36.02,95.44,10.47,168.07,44.78,202.81,,41.31,234.82,52.97,212.11,68.38,10.1,"3,491.28",10.65,92.29,92.08,64.28,143.48,64.22,95.17,77.03,209.14
2016/12/28,29.09,24.91,47.45,79.84,62.99,84.8,22.45,23.07,54.98,17.39,14.84,26.61,13.84,46.69,44.61,7.15,14.94,10.99,20.54,9.92,7.9,15.91,15.01,,12.13,206.35,49.76,36.34,97.24,10.51,169.94,45.53,203.28,,41.79,234.37,53.87,212.97,69.1,10.14,"3,622.57",10.79,92.75,91.62,64.46,145.79,64.89,95.74,77.94,210.08
2016/12/29,28.84,24.67,47.36,78.85,62.99,84.27,22.31,22.84,55.26,17.39,14.84,25.99,13.71,46.05,43.92,7.11,14.86,10.95,20.36,9.92,7.84,15.86,14.92,,12.05,204.55,49.49,36.34,95.89,10.47,168.07,45.01,201.41,,41.45,233.49,53.51,210.83,68.56,10.01,"3,622.57",10.69,92.75,92.08,64.65,145.33,64.67,95.28,77.94,207.27
2016/12/30,29.64,24.81,47.9,80.47,63.17,85.69,22.59,22.98,55.72,17.44,14.97,26.4,13.84,46.78,44.2,7.2,15.03,11.13,20.54,10.05,7.92,15.95,15.06,,12.13,207.25,50.13,36.61,100.84,10.56,169.47,45.06,201.41,,42.32,235.26,54.05,217.67,68.92,10.06,"3,685.78",10.74,92.75,93.88,65.73,147.65,65.57,95.97,78.22,210.08
2017/1/3,29.64,24.95,47.81,81.28,63.17,86.58,22.69,22.79,56.27,17.87,14.93,26.28,13.84,47.15,44.01,7.2,15.07,11.08,20.63,10.05,7.91,16,15.01,,12.13,209.04,50.22,36.75,98.59,10.56,170.87,44.08,202.81,,41.84,237.04,53.78,215.96,70.17,10.23,"3,690.64",11.2,93.66,94.33,65.01,146.72,66.13,96.08,78.4,211.49
2017/1/4,29.73,24.81,47.54,81.47,63.62,86.49,22.64,23.03,56.54,17.82,14.84,26.28,13.8,46.87,43.92,7.2,15.07,11.08,20.94,10.05,7.89,16.09,15.1,,12.13,205,50.49,37.2,98.59,10.51,170.87,44.46,200.95,,43.14,237.04,53.78,213.82,70.89,10.18,"3,676.05",11.25,94.58,96.14,66.01,145.79,66.35,95.97,78.4,210.08
2017/1/5,29.73,24.95,48.53,81.56,65.12,87.2,23.01,23.17,56.54,18.2,14.93,26.36,13.92,47.15,44.38,7.23,15.11,11.18,21.12,10.13,7.97,16.27,15.23,,12.22,207.25,50.67,37.34,99.94,10.56,171.34,45.15,202.81,,42.62,238.81,53.78,216.39,69.82,10.44,"3,938.63",11.62,95.49,97.04,66.46,147.18,67.24,95.74,78.22,207.74
2017/1/6,29.73,24.95,48.53,81.65,65.12,86.94,23.11,23.03,57.37,18.39,14.97,25.91,13.97,47.33,44.7,7.2,15.15,11.18,21.16,10.17,8,16.27,15.23,,12.22,203.66,50.67,37.47,98.14,10.74,171.8,45.48,204.67,,42.66,239.7,54.14,219.81,69.82,10.7,"4,031.02",11.99,94.12,95.69,66.46,149.5,68.25,95.51,77.94,209.14
2017/1/9,29.43,24.76,48.62,81.38,65.48,86.49,22.83,22.89,57.92,18.24,14.93,26.11,14.01,47.42,44.93,7.18,14.98,11.13,20.85,10.09,7.97,16.27,15.19,,12.22,204.11,50.67,35.97,98.14,10.74,171.8,45.39,201.88,,42.79,238.81,55.21,220.24,69.73,10.95,"3,899.73",11.9,93.21,95.24,66.37,149.5,68.81,95.17,78.5,210.08
2017/1/10,29.47,24.67,48.17,80.74,64.86,85.07,23.01,22.89,57.09,18.29,14.97,26.16,14.01,47.7,45.11,7.17,14.94,11.18,21.07,10,7.93,16.27,15.23,,12.26,205,50.4,36.24,97.69,10.79,171.8,44.55,199.55,,42.4,240.14,55.12,219.81,70.53,10.91,"4,021.29",11.85,93.21,95.24,66.28,148.57,69.37,95.74,78.4,209.14
2017/1/11,30.19,25.09,48.44,80.56,64.24,85.16,23.11,23.35,58.47,18.24,15.06,26.03,14.05,47.42,44.93,7.18,15.07,11.27,21.16,10.13,7.98,16.27,15.28,,12.31,205,50.49,36.47,96.79,10.79,169.94,44.64,200.48,,43.36,241.92,56.47,220.67,66.24,10.91,"4,055.33",11.8,92.75,96.59,66.37,151.35,71.5,95.97,78.5,204.92
2017/1/12,30.61,25.61,48.8,81.92,65.12,87.2,23.39,23.4,58.47,18.29,15.28,25.5,14.18,47.88,44.65,7.23,15.19,11.55,21.34,10.17,8.01,16.27,15.32,,12.35,209.04,50.76,36.2,97.24,10.93,172.27,43.99,201.88,,42.58,245.03,56.92,224.09,65.07,10.99,"4,123.40",11.9,93.21,96.14,66.37,156.9,74.07,96.08,77.76,201.17
2017/1/13,30.36,25.66,49.33,82.1,65.12,87.83,23.34,23.45,58.28,18.34,15.28,24.75,14.09,47.06,44.38,7.2,15.15,11.55,21.34,10.17,7.99,16.22,15.32,,12.35,207.25,50.85,36.61,97.24,10.93,169.47,43.24,200.02,,43.1,245.91,57.37,227.51,65.7,11.12,"4,123.40",12.04,93.21,97.04,66.82,156.44,72.5,95.97,78.31,202.58
2017/1/16,30.19,25.33,48.89,80.65,64.5,86.76,23.15,23.21,57.73,18.34,15.23,24.47,13.92,46.23,43.37,7.13,14.98,11.41,21.07,10.09,7.99,16,15.23,,12.26,205.45,50.58,36.38,94.08,10.79,167.6,43.38,195.83,,42.23,244.14,56.92,224.09,66.06,10.95,"4,133.13",11.85,93.21,96.59,67.27,155.51,70.94,95.17,77.67,205.39
2017/1/17,29.98,25.42,49.15,81.19,64.77,87.11,23.15,23.21,58.01,18.29,15.15,24.59,14.01,47.06,43.55,7.16,15.15,11.46,20.98,10.09,8,16.04,15.28,,12.22,210.83,50.67,36.52,94.08,10.79,169,44.5,198.62,,42.71,244.14,57.01,225.37,65.79,10.95,"4,279",11.9,93.66,97.04,67,156.44,71.16,95.74,78.4,209.14
2017/1/18,29.9,25,48.44,79.03,65.3,84,23.53,23.4,57.18,18.15,15.15,24.96,13.92,46.32,43.05,7.12,15.15,11.46,20.81,10.13,7.96,16,15.23,,12.22,206.8,50.58,36.34,94.53,10.79,169,44.69,196.76,,42.14,241.48,56.92,224.94,65.79,11.04,"4,322.77",12.22,92.75,96.59,67.18,155.51,71.94,94.94,78.59,207.74
2017/1/19,29.22,24.76,48.98,79.39,64.24,84.27,23.57,23.4,57.27,18.01,15.1,24.8,13.88,46.05,42.96,7.1,14.98,11.46,20.89,10.05,7.92,15.86,15.14,,12.22,205.9,50.31,35.83,93.63,10.74,168.53,44.97,198.16,,41.62,240.59,57.37,225.8,66.68,10.95,"4,176.89",12.17,92.29,95.24,67.18,155.98,73.73,95.17,78.77,218.05
2017/1/20,29.47,24.67,48.71,79.84,64.24,85.42,23.43,23.4,56.63,18.01,15.15,25,13.92,46.32,43.23,7.08,15.11,11.32,20.81,10.05,7.94,15.86,15.14,,12.26,204.11,50.22,35.83,93.63,10.74,169,44.6,196.76,,41.36,242.81,56.74,226.65,66.24,10.91,"4,269.28",12.13,92.75,94.78,66.91,157.83,78.32,95.05,77.58,227.43
2017/1/23,30.15,24.91,48.89,80.92,65.21,86.13,24.18,23.54,57.18,18.1,15.19,25.13,14.01,46.51,43.46,7.11,15.15,11.5,21.03,10.13,8.03,16,15.28,,12.35,207.69,50.4,36.29,95.44,10.7,172.74,44.32,199.55,,42.19,245.91,56.92,227.94,66.86,10.95,"4,235.24",12.13,92.75,95.24,67.46,160.61,78.32,95.74,79.96,228.84
2017/1/24,29.85,25.19,47.99,81.38,65.21,86.13,24.27,23.59,57,18.1,15.15,25.21,14.01,46.41,43.55,7.13,15.11,11.5,20.81,10.05,8.04,16.09,15.28,,12.35,209.49,50.94,36.02,95.89,10.51,173.2,44.78,198.62,,41.1,242.36,57.01,226.65,67.22,10.99,"4,327.63",12.22,93.21,94.33,67.46,161.07,85.03,95.4,80.6,239.15
